genre,name,title,year,score
Electronic,Keith Fullerton Whitman,Playthroughs,2002,9.7
Electronic,Mouse on Mars,Idiology,2001,9.6
Electronic,Basement Jaxx,The Singles,2005,9.5
Electronic,Farben,Textstar,2002,9.5
Electronic,Roots Manuva,Brand New Secondhand,1999,9.5
Experimental,Glenn Branca,The Ascension,2003,10.0
Experimental,Ennio Morricone,Mondo Morricone: The Trilogy,2004,9.7
Experimental,Animal Collective,Merriweather Post Pavilion,2009,9.6
Experimental,Iran,Iran,2001,9.6
Experimental,Can,Box Music (Live 1971-1977),1999,9.5
Folk/Country,Bonnie “Prince” Billy,I See a Darkness,1999,10.0
Folk/Country,Johnny Cash,Johnny Cash at Folsom Prison: Legacy Edition,2008,9.7
Folk/Country,Bob Wills and His Texas Playboys,Legends of Country Music,2006,9.4
Folk/Country,Joanna Newsom,Ys,2006,9.4
Folk/Country,Loretta Lynn,Van Lear Rose,2004,9.3
Global,Caetano Veloso,Livro,1999,9.0
Global,Caetano Veloso,Antologia 69-03,2004,8.9
Global,M.I.A.,Kala,2007,8.9
Global,Caetano Veloso,A Foreign Sound,2004,8.8
Global,Lee “Scratch” Perry,Ape-ology,2007,8.7
Jazz,John Coltrane,The Olatunji Concert: The Last Live Recording,2001,10.0
Jazz,Billie Holiday,The Ultimate Collection,2005,9.6
Jazz,Miles Davis,"Live at the Fillmore East (March 7, 1970): It's About That Time",2001,9.5
Jazz,Miles Davis,The Complete In a Silent Way Sessions,2001,9.5
Jazz,Roots Manuva,Brand New Secondhand,1999,9.5
Metal,Chavez,Better Days Will Haunt You,2006,9.4
Metal,Black Sabbath,Vol. 4 (Super Deluxe),2021,9.0
Metal,Deafheaven,New Bermuda,2015,9.0
Metal,Mastodon,Remission,2002,9.0
Metal,Deafheaven,Sunbather,2013,8.9
Pop/R&B,Funkadelic,Motor City Madness: The Ultimate Funkadelic Compilation,2004,9.8
Pop/R&B,Frank Ocean,Channel Orange,2012,9.5
Pop/R&B,D’Angelo,Black Messiah,2014,9.4
Pop/R&B,FKA twigs,MAGDALENE,2019,9.4
Pop/R&B,Lana Del Rey,Norman Fucking Rockwell!,2019,9.4
Rap,Kanye West,My Beautiful Dark Twisted Fantasy,2010,10.0
Rap,Kanye West,Late Registration,2005,9.5
Rap,Kanye West,Yeezus,2013,9.5
Rap,Kendrick Lamar,"good kid, m.A.A.d city",2012,9.5
Rap,Roots Manuva,Brand New Secondhand,1999,9.5
Rock,...And You Will Know Us by the Trail of Dead,Source Tags and Codes,2002,10.0
Rock,Bruce Springsteen,Born to Run: 30th Anniversary Edition,2005,10.0
Rock,Fiona Apple,Fetch the Bolt Cutters,2020,10.0
Rock,Glenn Branca,The Ascension,2003,10.0
Rock,King Crimson,In the Court of the Crimson King (50th Anniversary),2019,10.0
